,Site,Cert,Link
152,https://www.forbes.com/,CIS,https://www.forbes.com/sites/dawnstaceyennis/2019/08/31/why-i-wont-pretend-to-support-a-film-by-a-trans-man-about-a-man-who-pretends-to-be-trans/
153,https://www.forbes.com/,CIS,https://www.forbes.com/sites/jamesconca/2018/03/06/will-we-actually-get-a-place-to-store-our-nuclear-waste/
154,https://www.forbes.com/,CIS,https://www.forbes.com/sites/cargill/2016/02/22/a-greener-future-for-manufacturing/
155,https://www.forbes.com/,CIS,https://www.forbes.com/sites/roberthart/2022/11/17/monkeypox-in-women-frequently-misdiagnosed-as-sexually-transmitted-infections-study-finds/
156,https://www.forbes.com/,CIS,https://www.forbes.com/sites/lelalondon/2018/12/12/everything-rupauls-drag-race-uk-isnt-doing-for-trans-non-binary-queens/
157,https://www.forbes.com/,CIS,https://www.forbes.com/sites/teresahopke/2022/03/30/white-men-are-feeling-left-out-of-dei-diversity-equity--inclusion-why-should-we-care-and-what-should-we-do/
158,https://www.forbes.com/,CIS,https://www.forbes.com/sites/gradsoflife/2017/04/07/atts-diverse-mentoring-relationships-accelerate-employee-engagement/
159,https://www.forbes.com/,CIS,https://www.forbes.com/sites/alicebroster/2020/12/04/the-new-sex-education-series-tackling-the-pleasure-gap/
160,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/sap/2021/09/03/how-will-cybersecurity-maturity-model-certification-cmmc-impact-your-business/
161,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/forbestechcouncil/2020/06/01/analyzing-maturity-level-2-of-cmmc-so-whats-next/
162,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/frankkendall/2020/04/29/cyber-security-maturity-model-certificationan-idea-whose-time-has-not-come-and-never-may/
163,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/dereknewton/2021/11/04/the-big-unexpected-cybersecurity-threat-coming-for-our-colleges/
164,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/gordonbitko/2020/09/14/new-us-government-rules-mean-re-thinking-supply-chain-risk-for-public-and-private-sector-decision-makers/
165,https://www.forbes.com/,CMMC,https://www.forbes.com/sites/forbesbusinesscouncil/2021/10/08/compliance-score-alone-wont-keep-your-company-safe-from-data-breaches/
